altitude (ft),Speed(mph)
688.1,36.660889
690.5,37.28226
690.8,37.28226
692.2,38.525002
693.5,39.146373
693.2,39.767744
694.2,41.010486
694.7,41.631857
695.6,42.253228
695.8,42.874599
697.3,43.49597
698.1,43.49597
698.1,43.49597
700.3,44.117341
699.7,44.117341
701.7,44.117341
703.6,44.117341
705.9,44.117341
709.5,44.117341
710.6,44.738712
714.3,44.738712
716,44.117341
718.8,44.117341
721.5,44.117341
724.2,44.117341
726.6,43.49597
730,42.874599
732.2,42.874599
732.3,42.874599
736.2,43.49597
735.2,44.117341
732.7,44.738712
732.1,45.360083
729.4,45.981454
728,47.224196
726.5,47.224196
723,48.466938
721.8,48.466938
722.6,49.088309
722.1,49.088309
719.2,49.70968
717.4,49.70968
717.2,49.70968
714.6,49.70968
710.7,49.70968
710.8,49.70968
709.2,49.70968
707.4,49.70968
706.9,49.70968
706.3,49.70968
705,49.088309
704.3,49.088309
703.7,48.466938
702.2,47.845567
700.9,47.224196
699.9,47.224196
698.7,46.602825
696.3,45.981454
694.7,45.360083
694.6,44.117341
693.5,41.010486
693,38.525002
693,35.418147
693.3,32.311292
693.1,28.583066
692.4,24.85484
692.3,21.126614
692.4,17.398388
692.7,13.670162
693,9.320565
693.1,5.592339
693.1,2.485484
693.4,0.621371
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.4,0
693.5,0.621371
693.5,4.349597
693.6,8.699194
693.8,13.048791
693.9,16.155646
694.1,19.262501
694.3,21.747985
694.5,24.233469
694.7,26.097582
694.8,27.340324
695,29.204437
696.2,31.06855
697.1,32.311292
697.5,33.554034
697.6,34.796776
696.4,35.418147
695.1,36.039518
694.3,36.039518
694,36.660889
694,36.660889
693.8,4.970968
721.6,1.864113
698.3,22.990727
720.6,72.079036
683.7,0
736.8,0
720.7,69.593552
714.5,0
723.2,39.767744
694,46.602825
695.7,34.796776
721.4,23.612098
722.4,0
745.9,4.970968
694.4,3.106855
694.4,6.835081
694.3,12.42742
694.2,16.155646
694,18.64113
693.8,22.990727
693.5,24.233469
693.1,27.961695
692.5,29.204437
692.3,31.06855
692.8,29.204437
693.3,27.961695
693.3,22.990727
693,17.398388
692.9,16.155646
693.2,14.912904
693,14.912904
720.5,11.806049
730.9,23.612098
736.8,21.747985
685.8,5.592339
685.8,4.349597
685.8,4.970968
685.8,5.592339
685.9,5.592339
685.9,6.835081
685.9,9.941936
686,11.806049
686,11.806049
686,11.806049
686,12.42742
685.9,12.42742
685.8,16.155646
685.7,17.398388
685.5,17.398388
685.4,17.398388
685.3,18.019759
685.1,24.233469
684.8,24.233469
684.5,24.233469
684.6,25.476211
684.7,26.097582
684.3,29.204437
683.9,30.447179
684.1,30.447179
684.3,30.447179
684.2,31.06855
684.6,32.311292
685.4,32.932663
686.1,32.932663
686.7,32.932663
687.1,33.554034
687.9,34.175405
690.2,34.175405
692,33.554034
693,32.932663
694,31.689921
695,29.204437
695.5,29.204437
696,27.961695
697.1,24.85484
698.1,22.369356
698.9,18.019759
699.6,18.019759
700.2,16.155646
700.6,14.912904
697.7,12.42742
697.7,13.048791
721.9,58.408874
721.2,67.108068
675.7,37.903631
692.5,0
722.3,32.932663
724.5,32.932663
727.7,33.554034
742,0
682.5,56.544761
686.2,15.534275
697.8,21.747985
721.3,65.865326
731.5,10.21999684
732.2,10.79999666
731.5,12.11999625
727.5,13.10999594
726.1,13.61999579
720.9,14.51999551
720.8,14.46999552
721.9,14.2199956
729.2,13.5599958
731.5,13.13999593
727.6,11.57999642
725.8,12.38999617
724.2,12.66999608
725.8,11.48999645
737.2,10.04999689
724.7,11.01999659
723.1,11.3099965
742.7,18.64113
740.3,10.563307
740.6,6.21371
740.6,3.728226
740.6,1.864113
740.7,0
740.6,0
740.7,0
740.7,0
740.7,0
740.7,0
740.7,0
740.7,0
740.8,0
740.8,0
740.9,0
740.9,0
740.9,0
740.9,0
740.8,0
740.9,0
741,0
740.9,0
740.8,0
740.8,0
740.8,0
741,1.864113
741.1,0
741.2,0
741.2,0
741.3,0
741.3,0
741.3,0
741.3,0
760.3,17.398388
721.6,48.466938
722.7,8.077823
723.2,12.42742
723.8,16.777017
723.5,19.883872
721.7,5.592339
721.7,6.835081
721.5,8.077823
721.5,8.077823
721.6,6.835081
721.7,5.592339
721.8,6.835081
721.9,6.835081
722.1,5.592339
722.2,5.592339
722.2,0.621371
722.2,1.864113
721.7,4.349597
721.7,3.106855
721.7,1.864113
721.7,1.864113
684.8,2.485484
685,8.699194
685,11.806049
701.2,10.563307
741.8,17.398388
742.2,17.398388
742.7,17.398388
742.7,17.398388
742.4,17.398388
741.8,19.883872
740.5,21.747985
721.3,72.700407
698.4,12.42742
701.6,19.262501
766.5,38.525002
680.4,6.835081
700.2,4.349597
694.1,11.806049
721.3,69.593552
685.3,0
692.5,0
680.5,30.447179
683.9,32.311292
692.7,23.612098
701.9,34.796776
729.8,42.874599
728.7,20.505243
728,20.505243
729.8,24.233469
730.9,26.718953
733.3,32.311292
731.5,31.06855
728.9,32.311292
723.3,33.554034
720.2,31.689921
721.7,31.689921
726.1,30.447179
736.6,26.718953
742.3,21.126614
741.8,14.291533
741.9,13.048791
742.3,14.291533
742.6,19.883872
742.7,23.612098
743,24.85484
742.6,24.85484
742.1,24.85484
741.1,22.369356
739.9,21.126614
738.8,19.883872
738.1,17.398388
736.1,17.398388
735.5,21.126614
682.7,66.486697
720.9,68.35081
720.4,62.758471
686.5,13.670162
727.6,12.42742
729.9,13.670162
730.7,11.184678
732.2,11.184678
733,12.42742
734.2,12.42742
735.2,11.184678
736.3,9.320565
736.8,8.077823
737.1,4.349597
737.4,4.349597
737.6,6.835081
737.6,11.184678
737.8,14.912904
737.6,17.398388
736.7,17.398388
736,17.398388
735.4,16.155646
734.3,17.398388
732.9,18.64113
730.9,16.155646
729.3,12.42742
728.1,6.835081
727.2,3.106855
727,0.621371
726.9,1.864113
726.4,4.349597
725.7,8.077823
727.9,6.835081
727.9,3.106855
727.9,3.106855
727.9,4.349597
727.9,6.835081
727.9,8.077823
682.8,66.486697
742.4,24.233469
742.8,21.747985
742.9,17.398388
742.8,10.563307
742.7,1.864113
742.7,3.728226
742.6,1.864113
742.5,0
742.5,0
742.5,0
742.2,0
721.2,66.486697
674.8,42.874599
682.9,64.622584
700.7,31.689921
720.8,77.050004
719.9,73.321778
741.8,23.612098
742.3,18.64113
742.3,14.912904
742.6,13.670162
742.5,11.184678
742.3,9.941936
742.2,10.563307
742,11.184678
741.8,13.670162
741,14.912904
740.7,14.912904
739.9,14.912904
739.9,15.534275
738.1,13.670162
737.9,12.42742
737.4,13.048791
736.9,13.048791
736,13.048791
733.5,8.699194
733.1,8.077823
732.8,7.456452
732.5,5.592339
732.3,5.592339
731.9,6.21371
731.5,6.835081
730.8,9.320565
729.9,11.806049
728.9,14.291533
727.6,16.777017
726.3,19.883872
724.8,23.612098
723.4,27.340324
721.8,29.204437
721,31.06855
720.8,32.932663
722.1,33.554034
723.8,32.932663
727.1,30.447179
730.5,24.85484
732.8,22.990727
734.7,21.747985
736.4,21.126614
737.4,21.126614
737.6,21.747985
737.7,22.369356
736.8,22.990727
735.9,24.233469
734.8,24.85484
732.7,27.961695
729.6,28.583066
726.6,28.583066
724,28.583066
722.9,26.718953
722.2,23.612098
721.9,20.505243
722.1,16.777017
722.3,13.048791
722.5,9.320565
722.7,8.077823
722.9,9.941936
723.3,11.806049
723.3,13.048791
722.8,15.534275
722.7,8.077823
723.2,12.42742
723.8,16.777017
723.5,19.883872
721.7,5.592339
721.7,6.835081
721.5,8.077823
721.5,8.077823
721.6,6.835081
721.7,5.592339
721.8,6.835081
721.9,6.835081
722.1,5.592339
722.2,5.592339
722.2,0.621371
722.2,1.864113
721.7,4.349597
721.7,3.106855
721.7,1.864113
721.7,1.864113
721.7,0.621371
686.3,40.389115
720.8,66.486697
740.9,6.835081
741.3,4.349597
741.5,3.106855
741.7,3.106855
742.1,9.941936
742.4,13.048791
742.8,14.912904
743,18.64113
742.8,18.019759
742.4,18.019759
742,16.777017
741.5,14.912904
740.9,12.42742
740.3,10.563307
739.7,10.563307
739.4,5.592339
739.2,3.106855
739,1.242742
738.9,1.242742
738.9,0
738.9,0
738.9,0
738.9,0
738.9,0
738.9,0
738.9,0
738.9,0
738.9,0
738.9,0
738.1,0
687.1,13.670162
687,20.505243
684.2,45.360083
750.8,32.932663
749.5,30.447179
748.3,27.961695
747.6,24.85484
747.7,21.126614
747.6,19.883872
746.5,16.777017
745.4,15.534275
744.7,15.534275
743.7,14.291533
743.1,16.777017
747.6,31.689921
747.7,24.85484
746.8,18.019759
745.9,11.184678
745.4,6.21371
745,7.456452
744.7,8.699194
743.9,9.941936
743.4,14.291533
742.8,16.777017
742.3,34.796776
742.5,31.06855
742.7,29.825808
742.9,31.06855
742.9,27.961695
742,26.718953
741.5,25.476211
740.8,26.718953
740.7,26.097582
738.7,19.883872
738.6,15.534275
737.6,18.64113
737.3,17.398388
738.2,5.592339
738.1,7.456452
736.5,8.077823
736.1,14.291533
735.7,16.777017
733.1,3.728226
733.5,3.728226
734.2,6.21371
735.2,11.806049
736.5,14.912904
737.2,16.777017
737.6,17.398388
737.7,17.398388
737.7,16.777017
737,16.777017
736.4,14.291533
735.9,11.184678
735.5,9.941936
735,10.563307
734.3,10.563307
733.5,11.184678
732.5,11.184678
731.5,10.563307
730.1,10.563307
729,9.941936
728,9.320565
727.1,7.456452
726.6,5.592339
726.3,3.106855
726.4,1.864113
726.4,0.621371
726.4,0
726.4,0
726.4,0
726.4,0
726.4,0
726.4,0
726.4,0
726.7,0.621371
726.6,1.242742
726.6,0.621371
726.6,0
726.5,0.621371
726.4,1.864113
726.2,1.864113
725.5,6.21371
724.8,7.456452
724.1,8.699194
722.9,16.777017
722.3,19.262501
721.9,23.612098
722.3,27.340324
722.9,27.961695
724.1,28.583066
725.6,27.340324
728.4,25.476211
732.1,25.476211
735,25.476211
736.3,27.340324
737.9,36.660889
740.6,36.039518
742.3,37.28226
742.9,38.525002
742.5,37.903631
744.9,37.28226
750,36.039518
752.8,32.311292
752,29.204437
753.3,25.476211
756.9,23.612098
758.1,22.369356
757,21.126614
755.6,20.505243
754.9,21.126614
754,22.369356
752.8,24.85484
751.3,27.961695
749.8,29.825808
748.5,33.554034
747.5,35.418147
747.5,37.28226
745.7,38.525002
744.4,39.146373
740.4,39.767744
738.7,40.389115
738,39.767744
739,38.525002
740.1,36.660889
740.4,36.039518
738.9,34.796776
737.3,31.689921
735.1,32.932663
732,34.796776
730.1,37.28226
729,38.525002
728.1,38.525002
727,40.389115
726.3,40.389115
727.2,40.389115
728.6,39.767744
729,39.767744
729.2,40.389115
729,41.010486
728.8,41.631857
729.2,40.389115
729,40.389115
728.9,40.389115
727.4,39.767744
726.6,38.525002
726,37.903631
726.3,38.525002
726.6,39.146373
727.9,38.525002
728.4,37.903631
729.1,37.903631
730.3,37.28226
730.6,37.903631
731.1,38.525002
732,38.525002
733.2,39.146373
733.2,39.767744
733.8,39.767744
735.1,40.389115
736.5,40.389115
736.2,41.631857
735.4,41.010486
738.5,39.767744
740.3,38.525002
741.9,38.525002
743.8,39.146373
744.8,37.903631
747.1,39.767744
749.6,39.767744
751.3,39.146373
753.7,38.525002
756.5,37.903631
759.5,37.28226
761.3,36.660889
764.7,36.660889
767.8,36.039518
770.8,33.554034
773.5,33.554034
775.9,32.932663
777.8,32.932663
779.5,32.311292
778.5,32.311292
777.2,31.06855
776.1,31.06855
774.7,31.689921
773.1,31.689921
771.9,27.340324
770,26.718953
768.5,25.476211
767.4,22.990727
767.1,16.777017
766.5,13.670162
766,11.184678
765.5,9.320565
765.2,6.835081
764.9,4.970968
764.6,3.728226
764.5,3.728226
764.3,1.864113
762.8,2.485484
682.3,61.515729
742.6,21.747985
742.4,6.21371
742.4,1.864113
742.4,0
742.4,0
742.5,0
742.5,0
742.6,1.864113
742.5,0
742.5,1.864113
742.4,0
742.4,0
742.3,0
742.2,0
742.2,0
742.2,0
742.2,0
742.2,0
742.2,0
742.2,0
741.9,0
741.9,0
742,0
742,0
742.1,0
742.1,0
742.2,1.864113
742.4,1.864113
742.6,3.728226
742.7,3.728226
742.8,3.728226
742.8,3.728226
742.9,6.21371
742.7,8.699194
742.1,17.398388
741.3,19.883872
740.1,21.747985
738.8,21.747985
737.8,24.233469
736.4,26.097582
734.5,26.097582
732.6,28.583066
731.1,26.097582
728.8,28.583066
726.5,28.583066
724.8,28.583066
723.6,24.233469
722.2,24.233469
721,24.233469
720.8,24.233469
720.7,24.233469
721.9,21.747985
723.1,19.883872
724.8,19.883872
